longitude;latitude;housing_median_age;total_rooms;total_bedrooms;population;households;median_income;median_house_value;ocean_proximity;total_pools
-122.23;37.88;41.0;880;129.0;322.0;126.0;8.3252;452600.0;NEAR BAY;9
-122.22;37.86;21.0;7099;1106.0;2401.0;1138.0;8.3014;358500.0;NEAR BAY;
-122.24;37.85;52.0;1467;190.0;496.0;177.0;7.2574;352100.0;NEAR BAY;15
-122.25;37.85;52.0;1274;235.0;558.0;219.0;5.6431;341300.0;NEAR BAY;13
-122.25;37.85;52.0;1627;280.0;565.0;259.0;3.8462;342200.0;NEAR BAY;
-122.25;37.85;52.0;919;213.0;413.0;193.0;4.0368;269700.0;NEAR BAY;9
-122.25;37.84;52.0;2535;489.0;1094.0;514.0;3.6591;299200.0;NEAR BAY;25
-122.25;37.84;52.0;3104;687.0;1157.0;647.0;3.12;241400.0;NEAR BAY;
-122.26;37.84;42.0;2555;665.0;1206.0;595.0;2.0804;226700.0;NEAR BAY;
-122.25;37.84;52.0;3549;707.0;1551.0;714.0;3.6912;261100.0;NEAR BAY;35
-122.26;37.85;52.0;2202;434.0;910.0;402.0;;281500.0;NEAR BAY;22
-122.26;37.85;52.0;3503;752.0;1504.0;734.0;3.2705;241800.0;NEAR BAY;35
-122.26;37.85;52.0;2491;474.0;109800.0;468.0;3.075;213500.0;NEAR BAY;
-122.26;37.84;52.0;696;191.0;345000.0;174.0;2.6736;191300.0;NEAR BAY;7
-122.26;37.85;52.0;2643;626.0;1212.0;620.0;1.9167;159200.0;NEAR BAY;26
-122.26;37.85;50.0;1120;283.0;697.0;264.0;2.125;140000.0;NEAR BAY;
-122.27;37.85;52.0;1966;347.0;793.0;331.0;;152500.0;NEAR BAY;20
-122.27;37.85;52.0;1228;293.0;648.0;303.0;2.1202;155500.0;NEAR BAY;
-122.26;37.84;50.0;2239;455.0;990.0;419.0;1.9911;158700.0;NEAR BAY;22
-122.27;37.84;52.0;1503;298.0;690.0;275.0;2.6033;162900.0;NEAR BAY;
-122.27;37.85;40.0;751;184.0;409.0;166.0;1.3578;147500.0;NEAR BAY;
-122.27;37.85;42.0;1639;367.0;929.0;366.0;1.7135;159800.0;NEAR BAY;
-122.27;37.84;52.0;2436;541.0;1015.0;478.0;1.725;113900.0;NEAR BAY;
-122.27;37.84;52.0;1688;337.0;853.0;325.0;2.1806;99700.0;NEAR BAY;17
-122.27;37.84;52.0;2224;437.0;1006.0;422.0;2.6;132600.0;NEAR BAY;22
-122.28;37.85;41.0;535;123.0;317.0;119.0;2.4038;107500.0;NEAR BAY;
-122.28;37.85;49.0;1130;244.0;607.0;239.0;2.4597;93800.0;NEAR BAY;11
-122.28;37.85;52.0;1898;421.0;1102.0;397.0;1.808;105500.0;NEAR BAY;19
-122.28;37.84;50.0;2082;492.0;1131.0;473.0;1.6424;108900.0;NEAR BAY;21
-122.28;37.84;52.0;729;160.0;395.0;155.0;1.6875;132000.0;NEAR BAY;7
-122.28;37.84;49.0;1916;447.0;863.0;378.0;1.9274;122300.0;NEAR BAY;19
